dp_name,dp_id,c1,c2,c3,c4,c5,c6,c7
Read.End User.Count,1299,Read,,,End User,Count,,Read
Read.End User.Impressions,1300,Read,,,End User,Impressions,,Read
Read.InternalAnalysis.ExperimentId,1301,Read,,,InternalAnalysis,ExperimentId,,Read
Read.InternalAnalysis.ExperimentMetadata,1302,Read,,,InternalAnalysis,ExperimentMetadata,,Read
Read.InternalAnalysis.EventMetadataLogs,1303,Read,,,InternalAnalysis,EventMetadataLogs,,Read
Read.InternalAnalysis.ExperimentName,1304,Read,,,InternalAnalysis,ExperimentName,,Read
Read.Tweet.PrivateReply,1305,Read,,,Tweet,PrivateReply,,Read
Read.Tweet.PrivateRetweets,1306,Read,,,Tweet,PrivateRetweets,,Read
Read.Tweet.PrivateTweets,1307,Read,,,Tweet,PrivateTweets,,Read
Read.Tweet.Count,1308,Read,,,Tweet,Count,,Read
Read.Tweet.Impressions,1309,Read,,,Tweet,Impressions,,Read
Read.Tweet.Metadata.[count],1310,Read,,,Tweet,Metadata,count,Read
Read.Tweet.Click.[impression],1311,Read,,,Tweet,Click,impression,Read
Read.Tweet.Like.[count],1312,Read,,,Tweet,Like,count,Read
Read.Tweet.Like.[impression],1313,Read,,,Tweet,Like,impression,Read
Read.Tweet.Reply.[count],1314,Read,,,Tweet,Reply,count,Read
Read.Tweet.Reply.[impression],1315,Read,,,Tweet,Reply,impression,Read
Read.End User.AbuseRanking,1316,Read,,,End User,AbuseRanking,,Read
Read.End User.NonPrivacySettings,1317,Read,,,End User,NonPrivacySettings,,Read
Read.End User.AccountState-Age-Metadata,1318,Read,,,End User,AccountState-Age-Metadata,,Read
Read.End User.FollowedLists,1319,Read,,,End User,FollowedLists,,Read
Read.Moment.Impressions,1320,Read,,,Moment,Impressions,,Read
Read.Moment.Metadata,1321,Read,,,Moment,Metadata,,Read
Read.Moment.Click,1322,Read,,,Moment,Click,,Read
Display.Moment.Count,1323,Display,,,Moment,Count,,Read
Display.Ads.TrendId,1324,Display,,,Ads,TrendId,,Read
Display.Topic.id,1325,Display,,,Topic,id,,Read
Read.List.Impressions,1328,Read,,,List,Impressions,,Read
Update.End User.AccountState-Age-Metadata,1329,Update,,,End User,AccountState-Age-Metadata,,ReadWrite
Update.End user.NonPrivacySettings,1330,Update,,,End user,NonPrivacySettings,,ReadWrite
Display.Tweet.URL,1331,Display,,,Tweet,URL,,Read
Display.End User.FollowedAccounts,1332,Display,,,End User,FollowedAccounts,,Read
Display.End User.FollowingAccounts,1333,Display,,,End User,FollowingAccounts,,Read
Display.End User.Biodata,1334,Display,,,End User,Biodata,,Read
Display.Tweet.Pinned,1335,Display,,,Tweet,Pinned,,Read
Display.List.ID,1336,Display,,,List,ID,,Read
Update.End User.AuthorityDetails,1337,Update,,,End User,AuthorityDetails,,ReadWrite
Read.End User.FinancialInfo,1338,Read,,,End User,FinancialInfo,,Read
Display.Notification.Count,1339,Display,,,Notification,Count,,Read
Display.DM.Count,1340,Display,,,DM,Count,,ReadWriteDM
Read.Ads.UserSegmentation,1341,Read,,,Ads,UserSegmentation,,Read
Read.End User.Age,1342,Read,,,End User,Age,,Read
Read.End User.Gender,1343,Read,,,End User,Gender,,Read
Display.List.metadata,1344,Display,,,List,metadata,,Read
Read.ClientApp.Metrics,1345,Read,,,ClientApp,Metrics,,Read
Read.ThirdParty.metadata,1346,Read,,,ThirdParty,metadata,,Read
Read.Auth.GuestId,1347,Read,,,Auth,GuestId,,Read
Read.End User.LoginChallenge,1348,Read,,,End User,LoginChallenge,,Read
Read.End User.Password,1349,Read,,,End User,Password,,Read
Read.Device.metadata,1351,Read,,,Device,metadata,,Read
Read.Auth.HashedPassword,1352,Read,,,Auth,HashedPassword,,Read
Display.Community.Count,1353,Display,,,Community,Count,,Read
Display.Community.Id,1354,Display,,,Community,Id,,Read
Display.Community.metadata,1355,Display,,,Community,metadata,,Read
Display.Community.PublicCommunity,1356,Display,,,Community,PublicCommunity,,Read
Display.Community.PublicModerators,1357,Display,,,Community,PublicModerators,,Read
Display.Community.PublicMembers,1359,Display,,,Community,PublicMembers,,Read
Display.Community.SafetyLabel,1360,Display,,,Community,SafetyLabel,,Read
Read.BirdwatchNote.Id,1361,Read,,,BirdwatchNote,Id,,Read
